time	V(-y)	V(x)	V(z)
7.656171242227059e-07	0.000000e+00	5.104898e-17	1.562392e-18
7.656171242237059e-07	0.000000e+00	7.313028e-17	1.562392e-18
7.656171242257059e-07	-3.700687e-17	6.137601e-17	1.562392e-18
7.656171242297059e-07	-1.110223e-16	1.838866e-17	1.562392e-18
7.656171242377059e-07	-3.700772e-17	-1.528069e-17	1.562392e-18
7.656171242537059e-07	1.110223e-16	-2.193709e-17	1.562392e-18
7.656171242857059e-07	1.110223e-16	2.741083e-17	1.562392e-18
7.656171242867059e-07	1.110223e-16	2.400534e-17	1.562392e-18
7.656171242877060e-07	7.401374e-17	2.097974e-17	1.562392e-18
7.656171242897059e-07	0.000000e+00	1.356904e-17	1.562392e-18
7.656171242937059e-07	0.000000e+00	-1.246832e-18	1.562392e-18
7.656171242947059e-07	0.000000e+00	1.515342e-17	1.562392e-18
7.656171242967059e-07	-1.776338e-24	4.495231e-17	1.562392e-18
7.657421242967058e-07	-5.551115e-17	6.326434e-17	1.562383e-18
7.658671242967058e-07	0.000000e+00	7.036838e-17	1.562382e-18
7.661171242967058e-07	-2.219362e-16	4.516137e-17	1.562393e-18
7.661172463670184e-07	-1.850372e-16	3.574226e-17	1.562393e-18
7.661174905076433e-07	-7.401487e-17	7.116179e-18	1.562393e-18
7.661179787888933e-07	-7.401487e-17	-8.422614e-18	1.562393e-18
7.661189553513933e-07	-2.590520e-16	1.196376e-17	1.562393e-18
7.661209084763933e-07	-2.590520e-16	3.231331e-17	1.562393e-18
7.661248147263933e-07	-7.401487e-17	2.217536e-17	1.562393e-18
7.661326272263933e-07	0.000000e+00	1.710639e-17	1.562393e-18
7.661482522263934e-07	3.700744e-17	-5.740816e-18	1.562393e-18
7.661795022263933e-07	1.998401e-16	-4.138959e-17	1.562393e-18
7.661873147263933e-07	1.480297e-16	-1.591585e-17	1.562393e-18
7.662029397263934e-07	-1.110155e-16	1.161420e-17	1.562393e-18
7.662029406800677e-07	-7.401487e-17	4.805139e-18	1.562393e-18
7.662029425874163e-07	0.000000e+00	-1.648071e-17	1.562393e-18
7.662029464021136e-07	0.000000e+00	-1.435502e-17	1.562393e-18
7.662029540315081e-07	0.000000e+00	2.931029e-17	1.562393e-18
7.662029692902972e-07	0.000000e+00	3.083022e-17	1.562393e-18
7.662029998078753e-07	7.401487e-17	1.127746e-17	1.562393e-18
7.662030608430315e-07	2.220446e-16	4.194717e-17	1.562393e-18
7.662030761018206e-07	4.440892e-17	-2.370231e-18	1.562393e-18
7.662030799165178e-07	-3.700744e-17	-2.352707e-17	1.562393e-18
7.662030875459124e-07	-1.110223e-16	-2.744720e-17	1.562393e-18
7.662031028047014e-07	3.700744e-17	1.510003e-17	1.562393e-18
7.662031333222795e-07	4.070818e-16	2.372508e-17	1.562393e-18
7.662031943574357e-07	4.440892e-16	-1.258783e-17	1.562393e-18
7.662033164277483e-07	1.850372e-16	-3.074429e-17	1.562393e-18
7.662035605683733e-07	7.401487e-17	-2.966616e-17	1.562393e-18
7.662040488496232e-07	-7.401487e-17	-8.814370e-18	1.562393e-18
7.662050254121232e-07	-2.220446e-16	5.516811e-18	1.562393e-18
7.662052695527482e-07	-2.220446e-16	2.266056e-17	1.562393e-18
7.662057578339982e-07	-2.220446e-16	4.105232e-17	1.562393e-18
7.662067343964982e-07	-2.220446e-16	2.124178e-17	1.562393e-18
7.662069785371232e-07	-2.220446e-16	4.013275e-17	1.562393e-18
7.662074668183731e-07	-2.220446e-16	6.027173e-17	1.562393e-18
7.662084433808731e-07	-2.590520e-16	2.781981e-17	1.562393e-18
7.662103965058732e-07	-2.960595e-16	9.772252e-18	1.562393e-18
7.662143027558731e-07	-1.332268e-16	-7.706483e-18	1.562393e-18
7.662152793183731e-07	-2.186803e-16	6.090718e-17	1.562393e-18
7.662153098359512e-07	-2.220446e-16	6.035383e-17	1.562393e-18
7.662154929414200e-07	-7.401487e-17	5.246528e-18	1.562393e-18
7.662157370820450e-07	-7.401487e-17	-2.182711e-17	1.562393e-18
7.662162253632949e-07	-2.220446e-16	-2.520756e-17	1.562393e-18
7.662172019257949e-07	-1.114543e-16	5.689356e-17	1.562393e-18
7.662172057404922e-07	-7.401487e-17	6.461822e-17	1.562393e-18
7.662172133698867e-07	8.881785e-17	1.862824e-17	1.562393e-18
7.662172152772354e-07	-6.661337e-17	-3.414952e-18	1.562393e-18
7.662172157540726e-07	-7.401486e-17	1.941973e-17	1.562393e-18
7.662172167077469e-07	3.700743e-17	5.438394e-17	1.562393e-18
7.662172186150956e-07	1.110223e-16	3.214945e-17	1.562393e-18
7.662172190919328e-07	7.401486e-17	5.225239e-17	1.562393e-18
7.662172200456071e-07	-3.700743e-17	7.360332e-17	1.562393e-18
7.662172219529558e-07	-1.110223e-16	1.659681e-17	1.562393e-18
7.662172257676530e-07	-1.110223e-16	-1.615196e-17	1.562393e-18
7.662172333970476e-07	-1.110223e-16	2.841183e-17	1.562393e-18
7.662172486558366e-07	-1.110223e-16	3.038099e-17	1.562393e-18
7.662172791734147e-07	-7.401487e-17	8.964804e-19	1.562393e-18
7.662173402085709e-07	0.000000e+00	-3.689412e-18	1.562393e-18
7.662174622788835e-07	3.700744e-17	-1.613872e-17	1.562393e-18
7.662177064195085e-07	7.401487e-17	-2.050650e-18	1.562393e-18
7.662181947007584e-07	-7.401487e-17	-1.531934e-17	1.562393e-18
7.662191712632584e-07	-2.590520e-16	-3.211004e-17	1.562393e-18
7.662211243882585e-07	-3.330669e-16	1.591467e-17	1.562393e-18
7.662216126695084e-07	-1.111307e-16	-8.433384e-18	1.562393e-18
7.662216129079270e-07	-1.110223e-16	8.755369e-18	1.562393e-18
7.662216133847642e-07	-7.401487e-17	2.100079e-17	1.562393e-18
7.662216143384385e-07	0.000000e+00	-2.757832e-17	1.562393e-18
7.662216162457872e-07	-3.700743e-17	-1.792681e-17	1.562393e-18
7.662216200604844e-07	-3.700744e-17	1.736804e-17	1.562393e-18
7.662216276898790e-07	7.401487e-17	1.470274e-17	1.562393e-18
7.662216429486680e-07	0.000000e+00	1.337007e-17	1.562393e-18
7.662216734662461e-07	0.000000e+00	2.547385e-18	1.562393e-18
7.662217345014023e-07	-7.401487e-17	-3.333304e-17	1.562393e-18
7.662218565717149e-07	-1.850372e-16	-5.127325e-17	1.562393e-18
7.662221007123399e-07	-1.110223e-16	-1.995852e-17	1.562393e-18
7.662221617474961e-07	-1.110223e-16	-3.272899e-17	1.562393e-18
7.662222838178086e-07	-3.700744e-17	-4.425145e-17	1.562393e-18
7.662225279584336e-07	7.401487e-17	3.642585e-18	1.562393e-18
7.662230162396836e-07	-7.401487e-17	1.799636e-17	1.562393e-18
7.662239928021836e-07	-2.590520e-16	-1.545219e-17	1.562393e-18
7.662259459271836e-07	-2.960595e-16	-3.217647e-17	1.562393e-18
7.662298521771836e-07	-1.332268e-16	-3.287571e-17	1.562393e-18
7.662308287396836e-07	-3.364312e-18	-4.066719e-18	1.562393e-18
7.662308592572617e-07	0.000000e+00	-3.208428e-18	1.562393e-18
7.662309202924179e-07	-3.700744e-17	-1.180313e-18	1.562393e-18
7.662310423627304e-07	-7.401487e-17	4.386798e-18	1.562393e-18
7.662312865033554e-07	-3.700744e-17	8.212109e-18	1.562393e-18
7.662317747846054e-07	-1.110223e-16	5.328504e-18	1.562393e-18
7.662317766919541e-07	-3.700743e-17	4.577666e-18	1.562393e-18
7.662317805066513e-07	1.110223e-16	-7.629967e-18	1.562393e-18
7.662317806258606e-07	7.401488e-17	-1.165763e-17	1.562393e-18
7.662317808642792e-07	0.000000e+00	-1.361545e-17	1.562393e-18
7.662317808717298e-07	-1.110240e-16	-1.158037e-17	1.562393e-18
7.662317808866309e-07	-2.442504e-16	-6.215872e-18	1.562393e-18
7.662317808903562e-07	-1.480309e-16	-5.127514e-18	1.562393e-18
7.662317808978068e-07	-3.700687e-17	-1.702007e-18	1.562393e-18
7.662317809127079e-07	-1.998405e-16	8.418766e-18	1.562393e-18
